,tc,call_volume,aht,service_level,art,positions,resources_shifts
109,2022-12-02 03:15:00.000,34,189,80,30,10,9
110,2022-12-02 03:30:00.000,34,133,80,30,8,9
111,2022-12-02 03:45:00.000,42,129,80,30,9,9
112,2022-12-02 04:00:00.000,56,147,80,30,12,9
113,2022-12-02 04:15:00.000,51,302,80,30,21,9
114,2022-12-02 04:30:00.000,65,164,80,30,15,9
115,2022-12-02 04:45:00.000,60,175,80,30,15,9
116,2022-12-02 05:00:00.000,79,237,80,30,25,9
117,2022-12-02 05:15:00.000,84,242,80,30,27,9
118,2022-12-02 05:30:00.000,96,155,80,30,20,9
119,2022-12-02 05:45:00.000,91,282,80,30,33,9
120,2022-12-02 06:00:00.000,118,357,80,30,53,3
121,2022-12-02 06:15:00.000,120,163,80,30,26,2
122,2022-12-02 06:30:00.000,131,276,80,30,46,2
123,2022-12-02 06:45:00.000,132,362,80,30,60,0
124,2022-12-02 07:00:00.000,172,290,80,30,62,0
125,2022-12-02 07:15:00.000,197,322,80,30,77,0
126,2022-12-02 07:30:00.000,203,606,80,30,147,0
127,2022-12-02 07:45:00.000,217,556,80,30,144,0
128,2022-12-02 08:00:00.000,261,400,80,30,124,0
129,2022-12-02 08:15:00.000,285,293,80,30,100,0
130,2022-12-02 08:30:00.000,330,402,80,30,156,0
131,2022-12-02 08:45:00.000,381,333,80,30,149,0
132,2022-12-02 09:00:00.000,471,385,80,30,211,0
133,2022-12-02 09:15:00.000,503,378,80,30,221,0
134,2022-12-02 09:30:00.000,567,470,80,30,308,0
135,2022-12-02 09:45:00.000,584,476,80,30,321,0
136,2022-12-02 10:00:00.000,595,523,80,30,358,0
137,2022-12-02 10:15:00.000,615,495,80,30,351,0
138,2022-12-02 10:30:00.000,639,418,80,30,308,0
139,2022-12-02 10:45:00.000,642,437,80,30,323,0
140,2022-12-02 11:00:00.000,638,432,80,30,318,0
141,2022-12-02 11:15:00.000,622,422,80,30,303,0
142,2022-12-02 11:30:00.000,605,516,80,30,360,0
143,2022-12-02 11:45:00.000,594,544,80,30,372,0
144,2022-12-02 12:00:00.000,598,573,80,30,394,0
145,2022-12-02 12:15:00.000,590,510,80,30,347,0
146,2022-12-02 12:30:00.000,598,439,80,30,303,0
147,2022-12-02 12:45:00.000,571,433,80,30,286,0
148,2022-12-02 13:00:00.000,569,471,80,30,309,0
149,2022-12-02 13:15:00.000,577,500,80,30,333,0
150,2022-12-02 13:30:00.000,576,471,80,30,313,0
151,2022-12-02 13:45:00.000,575,384,80,30,256,0
152,2022-12-02 14:00:00.000,571,401,80,30,265,0
153,2022-12-02 14:15:00.000,563,417,80,30,272,0
154,2022-12-02 14:30:00.000,564,428,80,30,279,0
155,2022-12-02 14:45:00.000,542,457,80,30,287,0
156,2022-12-02 15:00:00.000,558,497,80,30,320,0
157,2022-12-02 15:15:00.000,528,571,80,30,348,0
158,2022-12-02 15:30:00.000,510,491,80,30,290,0
159,2022-12-02 15:45:00.000,486,482,80,30,272,0
160,2022-12-02 16:00:00.000,477,410,80,30,227,0
161,2022-12-02 16:15:00.000,449,354,80,30,186,0
162,2022-12-02 16:30:00.000,442,430,80,30,221,0
163,2022-12-02 16:45:00.000,394,409,80,30,189,0
164,2022-12-02 17:00:00.000,377,456,80,30,201,0
165,2022-12-02 17:15:00.000,312,515,80,30,189,0
166,2022-12-02 17:30:00.000,276,448,80,30,147,0
167,2022-12-02 17:45:00.000,254,430,80,30,130,0
168,2022-12-02 18:00:00.000,227,381,80,30,104,0
169,2022-12-02 18:15:00.000,186,530,80,30,119,0
