tc,call_volume,aht,service_level,art,positions,positions_quantile
2023-03-01 20:00:00+03:00,98,435.55102040816325,80,30,54,54
2023-03-01 20:15:00+03:00,74,443.2972972972973,80,30,42,42
2023-03-01 20:30:00+03:00,77,431.3636363636364,80,30,43,43
2023-03-01 20:45:00+03:00,58,432.5689655172414,80,30,33,33
2023-03-01 21:00:00+03:00,63,442.6507936507937,80,30,37,37
2023-03-01 21:15:00+03:00,54,434.4074074074074,80,30,31,31
2023-03-01 21:30:00+03:00,46,417.60869565217394,80,30,26,26
2023-03-01 21:45:00+03:00,50,416.88,80,30,28,28
2023-03-01 22:00:00+03:00,40,394.9,80,30,22,22
2023-03-01 22:15:00+03:00,33,430.969696969697,80,30,20,20
2023-03-01 22:30:00+03:00,27,399.8148148148149,80,30,16,16
2023-03-01 22:45:00+03:00,21,410.57142857142856,80,30,13,13
2023-03-01 23:00:00+03:00,25,393.76,80,30,15,15
2023-03-01 23:15:00+03:00,18,404.44444444444446,80,30,12,12
2023-03-01 23:30:00+03:00,20,426.9,80,30,13,13
2023-03-01 23:45:00+03:00,16,414.625,80,30,11,11
2023-03-02 00:00:00+03:00,12,393.0,80,30,8,8
2023-03-02 00:15:00+03:00,13,366.61538461538464,80,30,8,8
2023-03-02 00:30:00+03:00,11,407.0,80,30,8,8
2023-03-02 00:45:00+03:00,10,376.0,80,30,7,7
2023-03-02 01:00:00+03:00,8,431.0,80,30,7,7
2023-03-02 01:15:00+03:00,15,384.0,80,30,10,10
2023-03-02 01:30:00+03:00,10,385.0,80,30,7,7
2023-03-02 01:45:00+03:00,12,379.0,80,30,8,8
2023-03-02 02:00:00+03:00,17,378.2352941176471,80,30,10,10
2023-03-02 02:15:00+03:00,21,360.0,80,30,12,12
2023-03-02 02:30:00+03:00,22,390.6363636363636,80,30,13,13
2023-03-02 02:45:00+03:00,24,353.0,80,30,13,13
2023-03-02 03:00:00+03:00,33,370.5757575757576,80,30,18,18
2023-03-02 03:15:00+03:00,34,367.6764705882353,80,30,18,18
2023-03-02 03:30:00+03:00,34,369.7941176470589,80,30,18,18
2023-03-02 03:45:00+03:00,42,363.8571428571428,80,30,21,21
2023-03-02 04:00:00+03:00,56,368.0357142857143,80,30,28,28
2023-03-02 04:15:00+03:00,51,382.7058823529412,80,30,27,27
2023-03-02 04:30:00+03:00,65,378.1692307692308,80,30,33,33
2023-03-02 04:45:00+03:00,60,411.0,80,30,33,33
2023-03-02 05:00:00+03:00,79,399.506329113924,80,30,41,41
2023-03-02 05:15:00+03:00,84,413.7619047619048,80,30,45,45
2023-03-02 05:30:00+03:00,96,404.84375,80,30,49,49
2023-03-02 05:45:00+03:00,91,421.7802197802198,80,30,49,49
2023-03-02 06:00:00+03:00,118,415.3050847457627,80,30,61,61
2023-03-02 06:15:00+03:00,120,429.0833333333333,80,30,64,64
2023-03-02 06:30:00+03:00,131,426.0381679389313,80,30,69,69
2023-03-02 06:45:00+03:00,132,422.59090909090907,80,30,69,69
2023-03-02 07:00:00+03:00,172,413.9011627906977,80,30,87,87
2023-03-02 07:15:00+03:00,197,423.93908629441626,80,30,101,101
